VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS,porc_V,UBIGEO,distid,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
Primera,AMAZONAS,CHACHAPOYAS,QUINJALCA,Selva,358,780,133,PERU_LIBRE,34,15.11,10117,17,640,1722,0.342,1180,73.32,1058,52.07,1149,3.73,1776,495,947
Primera,AMAZONAS,CHACHAPOYAS,QUINJALCA,Selva,358,780,133,VOTOS_OTROS,182,80.89,10117,17,640,1722,0.342,1180,73.32,1058,52.07,1149,3.73,1776,495,947
Primera,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Selva,201,299,40,FUERZA_POPULAR,22,13.66,10118,18,305,1853,0.4897,520,71.22,1349,55.57,1002,7.49,585,831.3,439
Primera,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Selva,201,299,40,PERU_LIBRE,25,15.53,10118,18,305,1853,0.4897,520,71.22,1349,55.57,1002,7.49,585,831.3,439
Primera,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Selva,201,299,40,VOTOS_OTROS,114,70.81,10118,18,305,1853,0.4897,520,71.22,1349,55.57,1002,7.49,585,831.3,439
Primera,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Selva,363,524,73,FUERZA_POPULAR,50,17.24,10119,19,595,1744,0.3218,1315,69.8,1480,38.23,1574,4.74,1517,426.2,1103
Primera,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Selva,363,524,73,PERU_LIBRE,37,12.76,10119,19,595,1744,0.3218,1315,69.8,1480,38.23,1574,4.74,1517,426.2,1103
Primera,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Selva,363,524,73,VOTOS_OTROS,203,70,10119,19,595,1744,0.3218,1315,69.8,1480,38.23,1574,4.74,1517,426.2,1103
Primera,AMAZONAS,CHACHAPOYAS,SOLOCO,Selva,692,1260,189,FUERZA_POPULAR,78,15.51,10120,20,1076,1582,0.3446,1166,74.4,870,36.31,1611,4.74,1516,481.8,979
Primera,AMAZONAS,CHACHAPOYAS,SOLOCO,Selva,692,1260,189,PERU_LIBRE,80,15.9,10120,20,1076,1582,0.3446,1166,74.4,870,36.31,1611,4.74,1516,481.8,979
Primera,AMAZONAS,CHACHAPOYAS,SOLOCO,Selva,692,1260,189,VOTOS_OTROS,345,68.59,10120,20,1076,1582,0.3446,1166,74.4,870,36.31,1611,4.74,1516,481.8,979
Primera,AMAZONAS,CHACHAPOYAS,SONCHE,Selva,181,304,52,FUERZA_POPULAR,29,22.48,10121,21,196,1869,0.3721,1012,74.25,900,34.08,1678,4.51,1600,641.3,697
Primera,AMAZONAS,CHACHAPOYAS,SONCHE,Selva,181,304,52,PERU_LIBRE,11,8.53,10121,21,196,1869,0.3721,1012,74.25,900,34.08,1678,4.51,1600,641.3,697
Primera,AMAZONAS,CHACHAPOYAS,SONCHE,Selva,181,304,52,VOTOS_OTROS,89,68.99,10121,21,196,1869,0.3721,1012,74.25,900,34.08,1678,4.51,1600,641.3,697
Primera,AMAZONAS,CONDORCANQUI,EL CENEPA,Selva,4244,9319,1094,FUERZA_POPULAR,22,0.7,10402,2,9639,502,0.2225,1755,70.05,1459,34.45,1669,4.91,1439,166.6,1747
Primera,AMAZONAS,CONDORCANQUI,EL CENEPA,Selva,4244,9319,1094,PERU_LIBRE,404,12.83,10402,2,9639,502,0.2225,1755,70.05,1459,34.45,1669,4.91,1439,166.6,1747
Primera,AMAZONAS,CONDORCANQUI,EL CENEPA,Selva,4244,9319,1094,VOTOS_OTROS,2724,86.48,10402,2,9639,502,0.2225,1755,70.05,1459,34.45,1669,4.91,1439,166.6,1747
Primera,AMAZONAS,CONDORCANQUI,NIEVA,Selva,8337,19091,2723,FUERZA_POPULAR,342,6.09,10401,1,24778,228,0.294,1465,66.04,1725,33.66,1696,5.83,1092,331.2,1345
Primera,AMAZONAS,CONDORCANQUI,NIEVA,Selva,8337,19091,2723,PERU_LIBRE,915,16.3,10401,1,24778,228,0.294,1465,66.04,1725,33.66,1696,5.83,1092,331.2,1345
Primera,AMAZONAS,CONDORCANQUI,NIEVA,Selva,8337,19091,2723,VOTOS_OTROS,4357,77.61,10401,1,24778,228,0.294,1465,66.04,1725,33.66,1696,5.83,1092,331.2,1345
Primera,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Selva,4250,9863,1385,FUERZA_POPULAR,98,3.42,10403,3,17177,316,0.1898,1818,64.37,1775,33.96,1682,5.47,1233,121.7,1820
Primera,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Selva,4250,9863,1385,PERU_LIBRE,160,5.58,10403,3,17177,316,0.1898,1818,64.37,1775,33.96,1682,5.47,1233,121.7,1820
Primera,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Selva,4250,9863,1385,VOTOS_OTROS,2607,90.99,10403,3,17177,316,0.1898,1818,64.37,1775,33.96,1682,5.47,1233,121.7,1820
Primera,AMAZONAS,LUYA,CAMPORREDONDO,Selva,3059,4413,840,FUERZA_POPULAR,217,9.78,10502,2,7192,647,0.3418,1183,69.66,1495,27.96,1789,5.61,1184,517.6,901
Primera,AMAZONAS,LUYA,CAMPORREDONDO,Selva,3059,4413,840,PERU_LIBRE,1120,50.47,10502,2,7192,647,0.3418,1183,69.66,1495,27.96,1789,5.61,1184,517.6,901
Primera,AMAZONAS,LUYA,CAMPORREDONDO,Selva,3059,4413,840,VOTOS_OTROS,882,39.75,10502,2,7192,647,0.3418,1183,69.66,1495,27.96,1789,5.61,1184,517.6,901
